"x [nm]","y [nm]"
1599.63458,4687.72075
1608.532,4682.05174
1600.88552,4684.46589
3575.34295,2443.01167
2287.99754,3595.27416
5002.13826,2660.13189
505.75187,1471.60242
5118.17574,2679.30441
510.54342,1424.75828
5122.17661,2677.65031
5107.89857,2680.36075
543.06407,1395.2494
5107.09462,2682.32557
5102.82623,2676.33438
1795.88312,2106.23576
1797.83946,2107.81068
2494.43429,2357.41809
1792.06106,2103.50117
1490.48771,5402.38278
1551.2019,4796.09559
1485.70226,5404.34911
1550.73351,4774.37053
1486.1071,5399.12227
1558.10228,4785.13264
1482.8263,5403.40081
1787.6139,2109.10173
1789.32481,2119.83474
1788.05132,2105.3359
1637.22189,4925.24036
1790.08128,2111.78383
1787.00197,2110.06788
1783.15719,2110.52193
5427.41497,2787.47283
5434.05889,2805.80454
3328.84042,2455.43737
4220.83966,2556.07352
4228.18732,2550.144
866.76955,1755.34036
4218.05283,2544.87783
1493.93745,5829.70767
3266.90061,2745.86189
1416.12276,1849.26895
2679.68541,3234.80858
2640.82445,3248.81306
2638.49754,3253.82309
2643.85269,3259.64867
3781.77485,2470.17558
1469.97268,5495.78148
2638.17864,3247.78294
3788.0553,2481.72667
1376.50289,1833.98961
1470.95675,5511.85975
3801.93448,2482.51291
1412.94242,1843.54688
1421.9453,1836.31436
1411.93499,1843.81599
1428.9202,1856.39875
1401.87357,1835.06689
1424.71281,1827.33378
1493.99783,5229.97156
1491.84776,5220.84021
1650.70845,4530.06089
2051.7754,3852.19879
1666.27674,4527.45678
1477.60394,5431.27145
1486.66278,5436.53252
1479.16517,5436.15645
1486.76579,5441.51058
5319.4757,2764.52032
1492.88572,5417.37321
3482.87722,2496.13711
3487.59163,2486.01243
3494.8038,2492.99153
5713.72717,2993.26898
5705.21973,2988.12522
3341.34711,2422.23485
5174.24359,2704.45256
3354.04517,2421.84038
5181.09013,2702.81879
3352.08139,2425.85839
1528.95924,4925.58301
1529.46639,4920.48987
4351.34115,2505.93856
5170.73428,2704.31472
1530.83284,4923.62665
5176.31101,2698.22465
5494.24088,2839.84756
4346.18298,2504.81649
5662.44222,2842.38677
1467.72216,5556.34094
2725.14183,2454.15804
5649.70807,2889.89718
2723.40743,2461.32648
5659.0206,2871.9112
2723.27628,2457.35277
2724.45319,2463.12147
2713.22424,2463.02408
2625.2821,2647.26886
1560.7692,4728.62465
3426.66492,1712.04547
1572.58204,4732.24978
2556.24541,2753.65207
3395.83298,1701.66631
1571.72098,4726.20116
2554.01268,2762.38645
1580.00058,4727.71526
2562.87672,2754.13936
2572.9587,2706.65779
2556.78787,2757.79004
2552.79194,2752.86114
1477.12029,5091.55566
2520.5938,2341.89085
5319.65236,2748.26823
1498.11731,5077.05697
1970.65266,3782.57046
5310.88858,2752.13479
1464.54634,5100.37574
1969.50339,3811.78795
1488.57365,5076.55325
1978.8544,3806.21461
1490.89018,5074.77563
1963.50042,3795.04376
2187.05146,3708.86344
2202.44091,3704.93613
1488.65724,5079.41517
1495.1492,5075.19239
1490.97466,5077.1608
1493.31803,5078.67571
1554.13929,4898.26801
1628.19808,4564.3242
1625.00034,4560.49973
1953.9105,3809.59224
1494.13953,5076.79936
1953.6767,3812.48995
1486.45004,5090.71938
1944.82384,3811.92902
1947.55002,3811.5994
1954.49707,3699.71394
1986.30248,3732.09511
1524.15153,5242.0836
1520.76131,5272.03596
3489.57973,2429.9369
1502.22466,5229.6635
3494.25494,2424.29516
5766.25381,3032.55063
1556.05077,5283.91884
5762.46014,3060.17615
3492.03506,2434.61415
4130.51089,2572.22182
1621.88004,4716.74384
3499.42775,2422.10793
4126.74904,2561.5514
1648.38909,4655.95402
4134.65665,2564.89116
4140.24752,2574.51166
3479.41098,2429.64671
3495.34451,2451.66123
1490.95104,5573.51106
1495.57162,5577.27463
4449.14871,2532.95646
4465.63657,2524.99992
2271.28922,2279.51743
2272.39214,2284.82155
2454.66271,2321.43412
2437.72593,2331.43115
2635.39483,2353.85549
1584.63611,4698.97936
2263.01787,2287.61401
2264.96042,2288.74082
1924.08455,4008.22188
2247.39091,2284.70013
1927.8216,4017.12612
2239.99401,2279.64643
